,MAX,Mon_BM,Mon_EP,Mon_IVol,Mon_Illiq,Mon_SizeAll,Mon_SizeFlt,Mon_Turnover,Mon_Yield,Mon_Yield_1,R_VW,decile
0.0,0.022478713493773884,0.45270071042090787,0.019655368153124502,0.013878007882554971,2.6122040697318107,4120493.10300393,3066097.7902801293,26.84403152206441,-0.056237966356230365,0.0031134066262919627,-0.00011687173367944635,0.0
1.0,0.033539007601424815,0.4182069369101193,0.01607390419562352,0.015956645929669843,0.07438485429044288,2267314.909739355,1709244.2673473535,35.021923596362726,-0.0385882073035874,0.0007307297820988377,-6.091262248134996e-05,1.0
2.0,0.039337742127459836,0.3798476817345588,0.014896787728980407,0.016997008081679334,0.06596183811540521,1910553.555563745,1388981.9776420977,40.75836005916286,-0.03157666729338458,-9.61172114185525e-05,-4.7638480550819874e-05,2.0
3.0,0.044843577194825415,0.3495600245025616,0.013737975837452558,0.017829145677805552,0.06354153810019722,2011919.5753233037,1399496.0294923906,44.6127780113684,-0.02147221294168839,0.004213876784431015,-5.488318947816502e-06,3.0
4.0,0.050318451196074435,0.3281156622417147,0.012502165051590915,0.018776627713468493,0.06103970121702625,1606353.927177917,1195192.1945617043,50.222075342744354,-0.011458685265318121,0.006646193917040662,3.8605974789734865e-07,4.0
5.0,0.05632461049744838,0.30821417924506467,0.012042316904145138,0.019467737845839633,0.06635680994484451,1627632.2469831363,1204670.5017299764,54.024022713474466,0.002196574470908053,0.01415966691173259,3.45677329204553e-05,5.0
6.0,0.0629870478498827,0.28701835298532086,0.010819253703183365,0.02017054366108465,0.13488572409216049,1660246.2899734895,1234187.4047178105,59.70138749411045,0.019494724350401983,0.020282989083174906,7.526800473263765e-05,6.0
7.0,0.07137255546195925,0.27615413717853887,0.010050988259083087,0.020716783323932054,0.08980312691139267,1626700.2321593063,1169385.3368985162,67.10153607012097,0.042942360767150786,0.026706236491034863,0.0001258473853032328,7.0
8.0,0.08486539994285189,0.2686784785010853,0.009906370299191598,0.021775023435210088,0.11964492046473338,1604067.578210298,1156313.401677518,78.98240781593627,0.06817393963725932,0.031675242572694995,0.00018364484863389295,8.0
9.0,0.10152081619282102,0.28141139581096875,0.005596189956050677,0.020423725283308155,0.35658483882173214,1300911.4157950776,942876.3889548581,104.03765017545717,0.11448228462269401,0.017359470190765624,0.00023454754485358384,9.0
