,alpha,alpha_t,beta,beta_t
0,0.2690734805619064,0.3743050098023002,248.75303800937976,25.88180719279159
1,-0.7258711991543352,-0.8889058089756608,257.39001235310866,23.575414155759937
2,-0.6599325454950618,-0.9160538247761014,247.5821889127951,25.704686097741803
3,0.8222201146477133,0.9273854900578016,255.29043458182167,21.53665261386232
4,0.7538802965661888,0.9287694184986252,232.87012461723958,21.458074591350794
5,1.6326075305996879,1.7354516457376283,231.2241825843106,18.383806314053984
6,2.3348318893600046,1.3848181419864218,227.82670479608134,10.106789433279783
7,1.6553860181290367,1.6578262983608663,252.00320505685343,18.876317215479308
8,3.1871934782152147,2.8586519415543017,221.47612810220292,14.857688050352317
9,6.70962095785936,3.9959196413497207,245.0808591427263,10.916907090990106
