DateTime,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71
2001-05-31,507,540,530,582,300611,300730,300726,300747,550,300709,603895,600333,3,300523,626,543,603378,603881,300649,603300,783,603157,300541,903,880,300602,27,603090,622,567,514,600196,758,603598,300675,300699,300616,628,594,300568,600235,862,300513,300238,300106,300737,300736,603131,603367,300491,938,300263,300683,300647,583,300609,300088,791,552,300503,300508,600302,600315,603196,300578,300713,300093,300509,300672,35,603269,300555
2001-06-29,300344,582,300730,603895,507,300726,422,300027,603159,667,982,929,603879,600250,739,975,300746,300133,300143,815,600297,611,848,970,300592,300541,673,626,600255,603188,300669,300534,603177,913,895,556,300034,300503,600249,600312,300516,600236,672,600901,909,532,885,603859,603612,300656,600333,600351,408,300620,584,603300,603298,300527,300563,600258,35,603303,300740,300507,603368,300636,300510,963,603180,939,565,603869
2001-07-31,300738,300611,300726,606,300709,15,507,603895,300649,3,718,543,626,603329,519,300629,981,815,949,782,548,730,300597,913,603159,37,300128,603879,732,789,596,300701,915,510,425,603881,300590,603229,300622,300016,300091,300546,300606,600333,300132,608,65,836,667,679,600225,300494,603218,300504,300127,603338,300612,300719,300530,600261,35,756,300118,46,300509,625,953,408,300553,300563,600233,600241
2001-08-31,507,3,603895,300611,606,15,300747,603520,300726,551,300738,603168,300595,619,815,793,611,300627,603879,300059,300541,300615,885,300093,603223,603199,543,300551,603117,300305,626,338,681,603157,603159,655,300511,39,878,603177,300586,300491,732,35,753,300284,2187,300697,603232,554,300496,600355,300041,300622,600223,300579,727,426,300133,300641,300563,300735,569,300618,300293,300038,600233,600311,66,300599,588,603869
2001-09-28,507,530,606,540,300649,407,300747,551,603895,15,300738,3,300611,603161,626,603168,737,300615,603269,503,725,300535,793,300632,20,543,300093,816,809,692,419,300014,590,300627,868,603098,300520,603456,603266,603367,603311,659,802,569,403,600271,300098,401,300665,300707,300516,603189,603888,300319,300038,300662,300660,300570,958,300717,300531,300494,928,603885,300580,536,600320,937,300521,806,300689,428
2001-10-31,3,603895,507,530,550,15,300611,300709,300747,653,635,300649,300635,30,666,17,680,603161,639,603888,411,529,600327,300730,14,7,600339,300593,300745,828,407,300633,300738,600306,540,300500,766,675,686,600326,835,603890,621,786,603238,600841,603360,300606,166,504,962,603358,717,877,300634,709,300018,751,603877,300600,765,603444,785,300158,605,960,29,657,300080,300134,300576,300002
2001-11-30,300298,3,600329,300709,603895,300747,626,300627,619,692,603168,603117,300682,300551,667,603886,818,632,611,885,300535,831,300002,793,600230,514,633,9,503,61,603098,523,600196,603269,300237,534,10,610,603166,551,300691,40,902,300174,300605,300711,603612,526,35,600312,603259,603169,300102,600901,300091,300588,600309,150,300708,38,300571,300698,300062,300061,300548,405,300111,603228,603214,673,300313,2187
2001-12-31,3,407,550,540,603895,603168,611,503,959,603277,889,300122,910,300169,892,699,603289,650,736,549,430,60,603233,555,603306,603269,300398,600234,300738,552,796,697,19,404,667,708,603886,600312,715,603283,862,300091,588,877,603199,600282,300249,300583,868,597,603139,300698,498,628,507,300549,300390,600261,300058,55,300625,300027,600316,686,300489,300459,300599,28,603298,600326,591,300590
2002-01-31,3,300709,300611,910,300738,606,603895,300747,300523,626,300122,534,603168,300014,300627,543,603198,300551,603159,419,300116,667,799,300550,603098,600235,300536,893,888,511,300569,815,12,503,300699,967,300138,675,300697,166,732,721,832,300667,890,798,603189,43,960,555,930,36,507,901,902,408,987,603180,488,802,426,603858,600841,300692,561,617,723,517,630,763,603869,728
2002-02-28,300747,603895,910,626,603168,419,543,300687,629,300627,300551,603197,534,587,782,300536,300596,510,300743,300096,603101,533,300635,882,681,603886,300550,2185,300666,300014,603178,603585,511,603877,300318,300725,300530,555,776,300559,909,600841,761,590,584,552,300097,300583,600262,300534,652,300122,405,755,300034,597,300082,506,8,5,915,300532,300036,300599,600297,637,736,728,965,551,300228,401
2002-03-29,300430,603895,300523,300726,300747,300730,603161,626,543,300629,300627,300002,831,603168,88,300069,300635,603363,419,836,603198,603886,300031,600196,300581,825,603238,300509,573,603159,757,887,708,300665,535,300229,600240,300692,875,300644,49,751,8,300691,300057,791,721,600332,300590,917,565,637,542,603157,300526,411,300697,603188,300117,600322,953,300585,300072,517,630,10,300695,29,527,930,9,850
2002-04-30,300611,603161,603895,300738,419,603168,626,300627,681,603322,619,543,600939,300014,300743,603585,603886,663,300417,888,603123,603399,300064,603098,603101,603331,535,600296,959,603100,300320,300536,830,402,300027,300011,795,761,13,300507,603266,300504,300495,300708,300730,603208,300713,599,544,12,20,600297,300739,300726,300037,300555,603239,300513,300585,300736,300747,600303,617,300691,755,949,603199,300100,300523,637,408,56
2002-05-31,603517,530,603895,407,666,603858,300745,550,47,300599,680,300611,300633,300709,300649,600339,576,300519,603882,606,3,635,588,639,540,626,300627,300671,667,543,603159,300014,600353,573,300295,859,955,599,875,755,300590,620,569,300660,12,405,300077,300523,58,591,300592,300636,541,429,687,603608,406,810,889,603232,600901,300697,300730,583,300726,300625,300738,545,300679,691,507,603239
2002-06-28,300745,300599,300649,600339,576,551,47,603858,603882,603895,300519,300633,588,635,639,540,666,680,3,606,300611,600253,534,603098,300143,692,300550,868,603159,300565,300635,12,300096,603303,408,610,300610,760,422,300520,600225,300602,823,515,68,621,300641,691,603238,300490,983,898,567,753,547,300005,603239,501,603887,300159,300115,678,965,600255,603869,603355,885,300579,903,300002,300709,530
2002-07-31,300428,603895,300519,600339,680,666,603882,639,635,47,300745,300649,300599,540,300633,603858,551,576,606,626,603168,300627,300664,419,32,300119,603357,798,300102,600881,918,830,980,151,300029,300204,300590,300556,601,4,603355,300729,544,300012,600354,850,300313,549,722,488,603269,300707,300585,78,603609,300597,300543,300499,58,599,935,300034,587,300690,300698,556,300628,300513,603861,35,557,300611
2002-08-30,680,47,635,300633,603895,300599,639,551,300519,666,300745,300649,600339,576,606,619,603559,626,600285,419,603168,300743,603159,815,603308,543,600331,600313,300259,418,603603,498,534,689,300627,300727,600225,862,869,32,700,300233,415,38,603181,300284,596,300665,598,549,557,591,603882,300661,982,28,913,726,300738,660,685,951,651,502,825,603316,795,300523,791,40,410,540
2002-09-27,856,300121,680,300649,576,551,635,637,639,300519,47,300599,606,600339,603895,300682,600331,534,603389,816,626,603168,600234,573,603208,300027,532,926,603886,600239,925,543,300607,300239,600288,300548,888,300731,600338,959,46,10,60,488,600289,825,600292,300708,7,20,300005,19,300660,300553,567,31,300661,5,9,300505,58,18,56,801,686,300652,34,839,29,33,40,300633
