,MAX,Mon_BM,Mon_EP,Mon_IVol,Mon_Illiq,Mon_SizeAll,Mon_SizeFlt,Mon_Turnover,Mon_Yield,Mon_Yield_1,R_VW,decile
0.0,0.02578974994353322,0.4802935986551553,0.015813009272473606,0.015837379537113797,1.307919739839953,3072853.511467654,1781804.923322741,30.245695775898525,-0.0430240722166869,0.013185156699360503,-0.00014423433133399198,0.0
1.0,0.03493153667126046,0.45814478301775435,0.01362690631395177,0.017104144107805395,0.6870175984417287,1486269.9670075923,932071.1339879287,37.30488894345744,-0.021962607868425597,0.009675968480420684,-0.00010945381627579732,1.0
2.0,0.04040691677200889,0.43495538144722146,0.014297625586804507,0.01793531389096121,0.5650683731737093,1226807.090732689,750791.6395469888,41.73472674148228,-0.01745986529599363,0.012397531498277692,1.3904760828737356e-05,2.0
3.0,0.04553648461433936,0.41241886250035853,0.013485143690058966,0.01844809104672261,1.1470493594640125,1234923.4530386948,755725.6687064612,44.56236295725424,-0.008908240579459534,0.013823608220209919,2.5612060144375e-05,3.0
4.0,0.051035600604661495,0.39423612277986037,0.011961622648762953,0.019293167789392527,0.4621279196121402,1102903.2164911898,695755.032586027,48.599505989864944,0.00232868439111114,0.017877834227530958,1.6038322390539654e-05,4.0
5.0,0.057255547779100885,0.3756755428730435,0.01103778908806821,0.019678942972191568,0.3402705871185352,1137940.464537124,707034.313636632,51.86713089686294,0.015075967988268584,0.02182549775119868,0.0001554938040259598,5.0
6.0,0.06445898701310389,0.35255653246073293,0.00885505256943008,0.02059064336097756,0.3002437591271342,1185327.6638566758,717954.4264338065,55.994428130076855,0.03226283494307307,0.029428890897360553,0.0002874237770111946,6.0
7.0,0.07359523534142438,0.35105166307367686,0.011921438988022797,0.020884555121533033,0.24728346696721973,1154051.71803304,709539.7826320676,61.97902153621102,0.051298622878792305,0.03165926162226262,0.00046129298120720585,7.0
8.0,0.08703310896320354,0.3426278766968659,0.011947581524997437,0.02158267502477731,0.30437700810863305,1027903.7283794791,667087.1729819076,73.36916305155835,0.08118352724005029,0.03929917177913966,0.0004908029729662313,8.0
9.0,0.11353705288349952,0.3537049634178796,0.00527814379634465,0.02062301382377808,0.44018910968107783,846782.574702245,535807.3131663396,92.71635782434193,0.1331910365565074,0.02985607987598525,0.0005649388045125312,9.0
